Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment
Twitter,0.11,15000.0,6.44,38834,116546,3,Home
Facebook,0.12,7747.03,6.7,20223,61420,8,Fashion
Pinterest,0.07,3867.97,0.580928607,5684,19488,1,Fashion
Instagram,0.07,3315.6,1.75,8201,25813,5,Fashion
Pinterest,0.08,1148.35,1.142195015,1838,6967,1,Fashion
Twitter,0.1,4699.01,3.22,11955,36930,6,Technology
Pinterest,0.06,500.0,0.627402895,1098,4560,1,Health
Instagram,0.06,13368.23,2.93,35272,105997,2,Technology
Twitter,0.02,8059.18,7.75,21078,63952,8,Home
Instagram,0.04,7804.28,1.52,20381,61889,10,Home
Facebook,0.08,1331.88,0.85,3474,11809,8,Technology
Facebook,0.05,7482.29,6.07,19494,59261,1,Home
Twitter,0.1,1859.04,7.62,4568,15051,10,Food
Twitter,0.06,6440.16,1.82,16683,50936,5,Health
Facebook,0.06,9053.32,4.62,23766,71914,5,Technology
Pinterest,0.06,1938.72,1.392441184,2793,10075,1,Fashion
Instagram,0.08,8890.31,7.49,23327,70614,10,Food
Pinterest,0.05,11296.25,1.024221821,17551,58130,1,Food
Instagram,0.05,4024.85,6.7,10105,31450,9,Health
Twitter,0.07,7483.22,0.07,19497,59271,10,Health
Instagram,0.06,12912.73,2.51,34158,102698,1,Food
Instagram,0.15,12241.72,5.02,32411,97523,4,Food
Twitter,0.09,11447.49,3.04,30297,91261,3,Home
Instagram,0.09,4286.93,7.7,10830,33598,8,Home
Facebook,0.04,2996.27,6.83,7367,23341,10,Home
Instagram,0.02,1647.83,4.47,4109,13691,1,Fashion
Facebook,0.14,11555.47,2.77,30593,92139,6,Health
Facebook,0.14,5646.44,1.68,14535,44574,3,Technology
Instagram,0.01,6171.41,5.85,15961,48797,9,Food
Instagram,0.15,1703.36,3.84,4228,14042,10,Food
Instagram,0.05,3681.32,5.38,9175,28697,1,Fashion
Facebook,0.11,13161.04,5.46,34776,104527,10,Food
Twitter,0.13,12227.83,0.78,32376,97418,7,Food
Pinterest,0.02,2201.41,0.527304428,3163,11280,1,Technology
Instagram,0.05,8538.72,1.18,22394,67853,7,Technology
Pinterest,0.04,5774.07,1.426403164,8736,29427,1,Food
Facebook,0.05,5629.5,2.69,14489,44438,3,Technology
Facebook,0.09,10429.36,5.14,27517,83025,6,Health
Twitter,0.03,7146.55,0.35,18594,56597,5,Food
Twitter,0.11,3185.71,3.2,7857,24793,7,Fashion
Facebook,0.03,3105.53,2.88,7651,24183,6,Food
Facebook,0.02,12370.53,5.62,32751,98528,10,Technology
Instagram,0.05,1097.59,2.85,3042,10530,10,Food
Twitter,0.05,500.0,5.94,1604,6270,3,Fashion
Instagram,0.06,3611.25,4.36,8989,28145,6,Technology
Pinterest,0.01,2349.71,0.530879373,3374,11968,1,Food
Instagram,0.08,7960.11,6.7,20803,63140,10,Fashion
Facebook,0.15,3207.66,5.55,7913,24957,3,Food
Pinterest,0.12,6867.95,0.10188594,10477,35097,1,Health
Pinterest,0.12,10080.41,1.049246438,15606,51798,1,Technology
Pinterest,0.11,9983.41,0.182322209,15448,51282,1,Technology
Facebook,0.14,1879.7,3.09,4617,15196,9,Food
Pinterest,0.07,8436.47,0.017874726,12988,43272,1,Fashion
Instagram,0.07,8103.38,1.54,21196,64303,3,Home
Facebook,0.04,10247.14,6.88,27027,81575,1,Fashion
Instagram,0.09,3532.24,2.42,8770,27498,2,Fashion
Pinterest,0.02,15000.0,0.400393871,22852,75390,1,Technology
Facebook,0.03,6365.79,3.43,16488,50357,3,Food
Pinterest,0.02,12733.83,1.013496985,19790,65419,1,Fashion
Pinterest,0.12,11099.72,1.349541841,17237,57108,1,Food
Facebook,0.15,14193.87,1.36,37069,111319,7,Health
Pinterest,0.1,14982.4,0.005362418,22544,74389,1,Home
Twitter,0.15,7609.24,2.4,19838,60281,1,Food
Facebook,0.13,6791.94,0.06,17633,53749,7,Health
Facebook,0.1,15000.0,5.11,39478,118456,2,Food
Facebook,0.09,937.48,1.74,2751,9668,7,Fashion
Twitter,0.05,5630.88,7.01,14492,44447,6,Technology
Twitter,0.04,2342.97,6.74,5729,18489,7,Home
Pinterest,0.04,5480.69,1.363841622,8270,27910,1,Home
Facebook,0.01,12167.14,0.16,32207,96917,5,Fashion
Facebook,0.06,5583.25,2.77,14360,44056,4,Fashion
Pinterest,0.08,15000.0,0.353919582,22632,74675,1,Fashion
Pinterest,0.14,9594.34,0.484405085,14822,49245,1,Food
Pinterest,0.08,15000.0,1.154707323,23116,76251,1,Home
Pinterest,0.15,5305.41,0.428993433,7994,27011,1,Fashion
Facebook,0.01,1153.59,1.89,3140,10821,2,Technology
Twitter,0.13,6438.25,0.17,16678,50922,3,Food
Twitter,0.03,5574.91,0.8,14338,43989,4,Food
Instagram,0.03,10141.69,6.31,26744,80737,9,Health
Pinterest,0.14,11970.39,1.229781174,18614,61591,1,Home
Instagram,0.1,5733.33,4.43,14767,45262,5,Fashion
Facebook,0.11,6455.05,0.85,16722,51052,3,Home
Twitter,0.04,7533.37,0.12,19635,59678,3,Fashion
Facebook,0.13,7975.1,6.83,20844,63259,2,Fashion
Facebook,0.14,10557.18,5.09,27867,84062,5,Home
Facebook,0.12,8348.49,0.3,21870,66300,4,Fashion
Facebook,0.05,11275.7,5.38,29832,89883,6,Technology
Twitter,0.03,5072.72,2.77,12967,39929,6,Fashion
Pinterest,0.15,13627.56,0.243096279,21071,69592,1,Technology
Twitter,0.09,6919.81,3.92,17981,54780,3,Technology
Twitter,0.03,1450.31,7.8,3708,12503,1,Food
Pinterest,0.07,1992.92,1.072483582,2869,10323,1,Fashion
Instagram,0.07,9571.41,0.19,25179,76101,7,Fashion
Pinterest,0.05,15000.0,1.151132378,23375,77096,1,Health
Pinterest,0.14,8902.83,0.763250816,13721,45659,1,Fashion
Pinterest,0.12,2329.04,0.285995622,3345,11874,1,Home
Facebook,0.08,10372.33,3.16,27365,82577,10,Technology
Instagram,0.09,12388.05,6.76,32795,98660,7,Health
Instagram,0.13,11203.43,2.58,29636,89301,3,Home
Pinterest,0.07,5161.36,0.066136488,7766,26271,1,Food
Pinterest,0.05,6171.11,0.802575214,9373,31504,1,Fashion
Pinterest,0.1,11128.9,0.809725104,17285,57264,1,Fashion
Facebook,0.07,7460.75,5.62,19433,59080,6,Technology
Facebook,0.04,8480.7,5.7,22234,67378,1,Home
Pinterest,0.07,9080.5,0.228796497,14000,46569,1,Technology
Pinterest,0.11,3664.54,0.046474289,5361,18438,1,Health
Facebook,0.12,1460.74,0.17,3727,12561,7,Food
Facebook,0.03,9532.69,7.9,25071,75780,5,Home
Pinterest,0.09,10933.14,0.725713891,16967,56230,1,Home
Twitter,0.13,11711.16,6.29,31007,93362,5,Food
Twitter,0.11,3782.18,7.05,9449,29508,10,Health
Twitter,0.04,9333.23,4.91,24519,74146,4,Technology
Twitter,0.09,6878.05,2.9,17866,54440,5,Technology
Pinterest,0.15,9506.64,0.066136488,14681,48786,1,Health
Twitter,0.12,5166.55,5.96,13237,40728,2,Home
Pinterest,0.07,500.0,0.849049502,442,2423,1,Food
Instagram,0.14,3682.67,7.26,9179,28708,2,Technology
Pinterest,0.13,15000.0,0.664939821,23262,76726,1,Home
Twitter,0.08,11518.7,5.75,30493,91841,4,Technology
Instagram,0.09,6373.05,5.89,16507,50414,3,Health
Facebook,0.05,6744.31,6.96,17499,53352,6,Technology
Pinterest,0.1,1579.24,1.337029532,2332,8576,1,Home
Instagram,0.11,4162.33,5.93,10489,32588,8,Fashion
Instagram,0.15,11792.68,5.13,31230,94025,1,Home
Pinterest,0.06,12986.43,0.164447483,20171,66660,1,Home
Twitter,0.07,10492.53,1.84,27695,83555,10,Home
Twitter,0.13,2442.46,2.4,5967,19194,7,Health
Facebook,0.08,6016.82,7.38,15547,47571,9,Home
Facebook,0.05,6909.56,4.91,17954,54699,3,Technology
Facebook,0.1,11135.62,7.37,29446,88741,8,Health
Pinterest,0.12,7168.92,1.077846,10957,36662,1,Health
Pinterest,0.11,13286.81,0.134060448,20601,68063,1,Food
Instagram,0.05,5922.64,1.71,15290,46808,4,Fashion
Pinterest,0.02,6385.45,0.538029264,9714,32612,1,Technology
Facebook,0.08,15000.0,4.35,39396,118212,6,Health
Facebook,0.15,11187.5,2.2,29588,89160,3,Fashion
Twitter,0.12,1272.22,1.54,3357,11463,4,Fashion
Twitter,0.05,8123.99,3.96,21256,64480,5,Home
Twitter,0.15,3396.96,5.98,8415,26444,7,Fashion
Pinterest,0.09,500.0,0.344982219,1088,4524,1,Technology
Instagram,0.08,13488.08,7.79,35550,106821,6,Health
Twitter,0.13,5128.68,3.5,13132,40417,3,Fashion
Instagram,0.05,11260.47,1.48,29787,89750,2,Food
Instagram,0.09,5197.26,2.47,13315,40961,7,Technology
Twitter,0.1,7800.63,0.71,20370,61856,7,Technology
Instagram,0.13,2389.63,0.24,5842,18824,5,Home
Twitter,0.05,887.51,4.64,2663,9409,3,Health
Facebook,0.05,13695.22,0.31,36016,108202,6,Technology
Instagram,0.05,8468.93,5.83,22202,67283,7,Food
Pinterest,0.13,4567.62,0.171597373,6809,23154,1,Health
Twitter,0.14,1106.34,7.42,3055,10569,10,Fashion
Facebook,0.03,9052.02,2.1,23763,71907,10,Technology
Facebook,0.05,3192.72,4.65,7876,24849,5,Food
Pinterest,0.06,4428.16,0.321745075,6585,22423,1,Fashion
Instagram,0.09,1501.52,1.57,3809,12803,10,Home
Facebook,0.01,6821.09,6.92,17711,53981,10,Food
Pinterest,0.07,9565.75,0.391456507,14779,49106,1,Food
Twitter,0.07,6249.73,4.36,16169,49413,6,Health
Pinterest,0.05,6930.16,0.321745075,10577,35423,1,Technology
Instagram,0.02,3490.24,3.18,8660,27170,2,Fashion
Twitter,0.05,11050.56,1.33,29212,88046,6,Health
Instagram,0.14,4658.73,4.98,11841,36592,6,Food
Instagram,0.08,5637.9,4.43,14511,44502,4,Home
Facebook,0.02,15000.0,6.75,38763,116338,1,Food
Pinterest,0.05,12274.07,0.49512992,19085,63126,1,Home
Twitter,0.11,13238.0,0.51,34960,105073,9,Food
Twitter,0.07,1684.12,2.74,4188,13925,8,Fashion
Twitter,0.11,3734.78,1.17,9320,29126,2,Food
Instagram,0.1,1358.24,2.97,3525,11960,6,Technology
Instagram,0.09,9495.55,7.47,24966,75471,1,Fashion
Twitter,0.02,500.0,5.92,1785,6806,1,Home
Instagram,0.15,11869.72,3.52,31422,94594,8,Food
Pinterest,0.06,9068.57,0.125123085,13981,46507,1,Food
Twitter,0.06,14044.62,1.28,36764,110415,9,Health
Instagram,0.07,14146.35,2.1,36972,111031,4,Technology
Twitter,0.01,5985.87,2.22,15465,47327,8,Technology
Facebook,0.04,2463.79,5.66,6021,19353,3,Food
Facebook,0.09,4995.03,6.58,12756,39303,8,Health
Twitter,0.02,8273.57,4.51,21667,65698,6,Health
Twitter,0.14,6459.53,0.13,16735,51088,7,Home
Instagram,0.04,10533.35,6.79,27803,83874,6,Fashion
Facebook,0.05,500.0,2.17,1028,4565,8,Technology
Twitter,0.02,4214.08,5.52,10626,32995,1,Food
Facebook,0.11,2254.04,4.76,5516,17859,5,Health
Facebook,0.05,8387.5,1.58,21979,66621,8,Food
Twitter,0.11,3467.28,3.54,8595,26979,2,Home
Facebook,0.05,10314.7,1.93,27205,82102,10,Technology
Instagram,0.08,9745.56,5.22,25663,77533,2,Home
Instagram,0.04,11896.8,3.0,31499,94820,4,Technology
Twitter,0.01,3959.83,4.73,9931,30935,1,Fashion
Facebook,0.06,1680.71,1.2,4181,13905,5,Food
Pinterest,0.03,4893.56,0.968810169,7330,24850,1,Technology
Pinterest,0.05,8101.96,0.273483313,12446,41509,1,Health
Twitter,0.11,8664.2,1.01,22729,68844,4,Fashion
Pinterest,0.03,4360.55,0.02681209,6474,22064,1,Health
Pinterest,0.03,14915.64,1.170794577,22490,74210,1,Health
Instagram,0.13,4968.27,7.54,12683,39087,6,Fashion
Pinterest,0.13,3250.44,1.101083144,4713,16330,1,Fashion
Pinterest,0.02,500.0,0.806150159,964,4123,1,Home
Pinterest,0.14,5882.81,1.158282269,8915,30010,1,Technology
Instagram,0.01,1654.77,5.3,4126,13741,6,Health
Instagram,0.06,4992.89,3.44,12751,39288,8,Home
Pinterest,0.02,7085.86,0.030387035,10823,36225,1,Fashion
Facebook,0.08,7640.07,5.99,19925,60538,9,Fashion
Pinterest,0.02,10854.79,0.879436537,16845,55833,1,Food
Facebook,0.04,7604.66,0.71,19827,60249,6,Home
Facebook,0.12,4665.47,2.75,11864,36661,6,Home
Twitter,0.03,9412.45,3.01,24738,74796,1,Fashion
Twitter,0.02,13168.65,2.18,34795,104582,4,Fashion
Twitter,0.1,1263.56,5.53,3342,11420,9,Home
Instagram,0.09,846.68,4.09,2587,9183,5,Technology
Facebook,0.08,14741.25,2.35,38031,114170,5,Technology
Pinterest,0.09,500.0,1.394228657,1154,4741,1,Home
Facebook,0.09,1512.33,3.5,3833,12875,4,Fashion
Twitter,0.15,12643.55,6.72,33462,100635,3,Health
Instagram,0.06,4029.73,5.64,10117,31488,2,Food
Instagram,0.1,12901.32,1.77,34129,102610,5,Fashion
Facebook,0.02,11386.29,5.93,30127,90757,5,Home
Facebook,0.04,5858.21,1.54,15110,46276,9,Technology
Pinterest,0.12,15000.0,0.318170129,22815,75273,1,Fashion
Pinterest,0.05,4687.44,0.566628826,7002,23782,1,Fashion
Pinterest,0.08,11017.75,0.198409463,17101,56664,1,Home
Pinterest,0.01,14568.23,1.083208418,22172,73177,1,Fashion
Pinterest,0.13,5550.91,0.575566189,8381,28272,1,Food
Twitter,0.11,7731.99,6.61,20183,61302,5,Food
Pinterest,0.02,7915.43,1.17973194,12146,40530,1,Food
Pinterest,0.15,10568.66,1.194031721,16385,54333,1,Food
Pinterest,0.04,12961.66,0.956297861,20132,66535,1,Home
Facebook,0.09,14019.53,2.83,36708,110251,5,Technology
Instagram,0.02,12205.36,6.4,32317,97245,4,Technology
Twitter,0.13,12229.74,5.54,32382,97435,5,Technology
Facebook,0.09,500.0,5.51,543,3127,2,Technology
Facebook,0.03,11002.94,7.83,29075,87641,1,Technology
Twitter,0.14,7369.97,3.16,19189,58357,9,Fashion
Facebook,0.09,6793.44,0.01,17637,53761,3,Food
Pinterest,0.14,7394.21,0.593440915,11307,37801,1,Fashion
Pinterest,0.04,1761.33,0.048261761,2556,9304,1,Health
Pinterest,0.07,6128.9,0.336044856,9305,31280,1,Fashion
Facebook,0.1,5225.39,7.4,13393,41191,6,Health
Facebook,0.03,11014.55,0.09,29108,87738,4,Technology
Facebook,0.06,2139.97,7.98,5237,17032,4,Home
Twitter,0.07,9735.93,5.49,25636,77453,6,Technology
Instagram,0.1,5991.26,2.16,15478,47366,5,Technology
Twitter,0.09,12919.36,6.37,34174,102744,8,Health
Instagram,0.01,5915.97,5.36,15272,46755,3,Home
Facebook,0.08,500.0,6.71,704,3606,6,Home
Pinterest,0.12,4271.31,0.116185721,6334,21606,1,Technology
Twitter,0.04,3366.4,3.8,8336,26211,2,Food
Facebook,0.13,13097.04,6.63,34616,104054,7,Food
Facebook,0.04,3015.25,4.3,7419,23496,1,Food
Pinterest,0.12,1612.89,0.455805522,2371,8703,1,Fashion
Instagram,0.11,11809.06,3.78,31274,94156,1,Technology
Twitter,0.12,1422.53,1.59,3650,12332,5,Health
Pinterest,0.04,3066.06,0.818662468,4433,15416,1,Food
Facebook,0.14,5060.52,0.89,12937,39838,8,Home
Facebook,0.04,8673.78,0.46,22754,68918,10,Food
Twitter,0.15,3861.01,7.64,9659,30131,5,Home
Facebook,0.06,5315.53,6.19,13635,41907,1,Technology
Instagram,0.04,13606.94,6.38,35830,107649,4,Fashion
Twitter,0.14,4104.06,1.16,10328,32110,10,Health
Pinterest,0.03,10682.71,0.677452129,16572,54942,1,Fashion
Twitter,0.13,9335.48,7.77,24525,74165,3,Technology
Facebook,0.06,12000.32,3.1,31771,95627,3,Health
Facebook,0.07,13333.87,5.52,35188,105749,8,Technology
Pinterest,0.14,4060.95,1.090358308,5992,20494,1,Food
Twitter,0.04,860.54,1.8,2611,9254,2,Food
Instagram,0.06,6348.94,0.45,16441,50218,6,Home
Pinterest,0.07,10408.47,1.106445562,16128,53497,1,Technology
Instagram,0.01,11239.51,1.28,29735,89595,8,Technology
Instagram,0.07,10565.75,3.48,27891,84133,2,Technology
Pinterest,0.04,8068.11,0.695326856,12392,41332,1,Food
Facebook,0.15,8424.97,5.34,22083,66932,3,Technology
Pinterest,0.07,14222.22,1.156494796,21805,71984,1,Home
Twitter,0.13,500.0,3.99,1286,5330,7,Fashion
Facebook,0.1,9001.77,1.74,23632,71518,1,Food
Twitter,0.07,11240.79,7.62,29738,89605,7,Health
Twitter,0.02,4354.96,4.6,11009,34130,5,Fashion
Facebook,0.04,5180.02,1.54,13273,40835,8,Health
Instagram,0.05,6142.6,6.88,15884,48569,3,Fashion
Facebook,0.03,4906.95,2.58,12520,38606,9,Technology
Instagram,0.08,13500.03,3.21,35577,106899,5,Fashion
Pinterest,0.15,500.0,0.092948577,1010,4273,1,Food
Instagram,0.13,15000.0,3.12,38649,115998,6,Food
Instagram,0.05,7307.96,0.55,19029,57883,10,Fashion
Facebook,0.05,1397.86,6.14,3602,12188,5,Technology
Facebook,0.14,11949.01,5.18,31637,95228,4,Fashion
Instagram,0.09,1526.14,2.15,3862,12959,7,Technology
Facebook,0.14,1322.35,1.06,3456,11755,1,Health
Pinterest,0.03,9964.79,0.988472368,15419,51187,1,Fashion
Twitter,0.05,2120.01,6.26,5187,16884,4,Technology
Twitter,0.13,4640.09,4.82,11793,36451,1,Technology
Facebook,0.14,5546.27,7.32,14258,43753,9,Home
Facebook,0.1,4350.29,1.13,10998,34095,9,Food
Twitter,0.05,15000.0,3.67,39108,117359,1,Technology
Pinterest,0.13,14763.36,0.968810169,22358,73782,1,Fashion
Pinterest,0.13,4026.95,0.205559353,5937,20315,1,Technology
Facebook,0.12,12518.05,7.86,33131,99655,6,Technology
Instagram,0.1,7112.92,0.94,18505,56332,8,Food
Twitter,0.09,8451.24,5.84,22154,67141,9,Home
Pinterest,0.02,1280.27,0.706051691,1980,7430,1,Fashion
Twitter,0.02,2094.6,3.65,5125,16699,7,Health
Pinterest,0.05,3492.89,1.133257652,5089,17555,1,Fashion
Facebook,0.13,567.07,3.75,2179,7975,9,Health
Instagram,0.14,11556.54,3.07,30597,92150,6,Fashion
Instagram,0.04,1668.08,5.34,4154,13823,5,Technology
Pinterest,0.06,10878.9,0.870499174,16882,55952,1,Fashion
Facebook,0.07,8962.57,0.21,23528,71209,7,Fashion
Pinterest,0.1,13894.98,1.40316602,21405,70679,1,Technology
Pinterest,0.14,9476.31,0.577353662,14631,48623,1,Home
Twitter,0.05,500.0,4.08,1681,6501,3,Health
Instagram,0.15,9809.99,0.38,25847,78081,4,Health
Instagram,0.04,4848.28,6.58,12360,38132,6,Technology
Facebook,0.07,7175.28,1.06,18676,56840,6,Fashion
Twitter,0.03,9136.94,7.73,23995,72593,8,Fashion
Instagram,0.14,10534.31,3.73,27806,83883,9,Fashion
Pinterest,0.06,14321.7,0.468317831,21912,72332,1,Fashion
Pinterest,0.1,4429.0,0.039324398,6587,22430,1,Health
Facebook,0.03,15000.0,6.86,39624,118887,5,Technology
Pinterest,0.09,6396.75,1.253018318,9734,32677,1,Technology
Instagram,0.03,500.0,5.58,1830,6939,5,Fashion
Twitter,0.04,500.0,4.2,734,3695,7,Health
Twitter,0.12,11700.24,0.76,30978,93279,3,Home
Instagram,0.11,500.0,4.51,1007,4501,6,Technology
Twitter,0.03,9262.7,4.25,24332,73593,3,Home
Instagram,0.02,15000.0,4.09,38525,115632,4,Fashion
Twitter,0.14,6587.39,6.58,17074,52094,8,Home
Facebook,0.1,6538.49,2.54,16947,51718,2,Food
Twitter,0.06,7159.9,0.0,18632,56707,5,Technology
Pinterest,0.03,10136.85,0.187684627,15699,52102,1,Health
Facebook,0.02,9415.69,5.63,24750,74830,9,Food
Twitter,0.02,8309.1,4.93,21764,65986,2,Fashion
Facebook,0.04,9154.73,0.6,24048,72750,5,Technology
Instagram,0.14,9604.83,7.48,25268,76365,4,Health
Facebook,0.08,2929.59,5.19,7193,22826,6,Health
Pinterest,0.11,13541.31,1.394228657,20955,69214,1,Technology
Pinterest,0.13,4442.32,1.14576996,6608,22498,1,Technology
Twitter,0.08,9223.83,1.24,24228,73283,6,Fashion
Pinterest,0.07,9650.28,0.566628826,14917,49555,1,Fashion
Facebook,0.11,13503.62,1.1,35585,106924,1,Health
Twitter,0.05,3184.6,4.74,7855,24785,10,Food
Facebook,0.02,15000.0,7.55,39797,119400,10,Fashion
Twitter,0.08,12928.55,4.63,34197,102813,5,Technology
Instagram,0.12,10343.8,2.29,27287,82345,1,Fashion
Facebook,0.1,14503.13,1.32,37638,113006,1,Fashion
Instagram,0.14,13690.92,1.8,36008,108178,6,Health
Pinterest,0.03,5714.35,0.884798955,8644,29128,1,Health
Instagram,0.07,11688.22,0.48,30945,93179,6,Home
Facebook,0.09,1407.71,2.22,3621,12245,5,Health
Twitter,0.03,4118.85,0.95,10367,32227,7,Food
Instagram,0.01,7319.62,5.44,19060,57977,8,Health
Instagram,0.07,13411.93,4.58,35372,106294,10,Fashion
Twitter,0.13,4025.37,5.73,10105,31452,6,Health
Facebook,0.08,11804.99,0.49,31264,94123,2,Food
Pinterest,0.03,13805.38,1.267318099,21295,70322,1,Food
Instagram,0.12,3507.58,3.15,8708,27312,5,Technology
Pinterest,0.04,10830.65,0.990259841,16805,55700,1,Technology
Facebook,0.04,8956.22,4.1,23512,71162,8,Health
Facebook,0.02,7211.66,0.88,18773,57127,8,Technology
Twitter,0.02,500.0,4.32,851,4042,4,Technology
Instagram,0.11,6505.54,2.03,16862,51465,2,Technology
Instagram,0.1,13015.79,0.6,34419,103469,6,Home
Pinterest,0.02,10757.2,1.194031721,16687,55318,1,Fashion
Twitter,0.04,9145.93,1.34,24022,72672,9,Fashion
Facebook,0.12,2722.67,6.95,6662,21254,7,Food
Facebook,0.03,10645.6,1.8,28113,84791,10,Home
Facebook,0.09,13046.4,5.97,34493,103689,1,Fashion
Pinterest,0.06,5875.22,0.176959791,8903,29972,1,Technology
Twitter,0.06,3699.09,7.39,9225,28843,8,Technology
Facebook,0.08,14072.39,3.08,36825,110598,3,Fashion
Twitter,0.02,500.0,0.36,611,3331,6,Fashion
Instagram,0.01,14957.83,2.33,38348,115107,1,Home
Facebook,0.12,5650.37,5.98,14549,44614,8,Food
Pinterest,0.07,10512.24,0.464742886,16297,54046,1,Health
Facebook,0.05,7160.56,5.74,18633,56712,8,Food
Facebook,0.11,11619.12,6.54,30766,92650,3,Food
Instagram,0.06,3367.49,7.13,8339,26221,1,Health
Instagram,0.09,8963.2,3.49,23529,71213,8,Food
Pinterest,0.04,3111.71,1.272680517,4503,15645,1,Home
Pinterest,0.14,10791.21,0.874074119,16741,55495,1,Home
Twitter,0.14,4609.86,6.64,11709,36203,6,Technology
Instagram,0.14,5473.35,4.92,14059,43163,1,Food
Twitter,0.08,8373.36,5.39,21935,66492,2,Fashion
Instagram,0.08,14278.17,7.32,37234,111807,10,Home
Pinterest,0.12,9454.76,0.750738507,14595,48505,1,Fashion
Twitter,0.02,9332.56,5.23,24517,74139,6,Home
Pinterest,0.08,4735.62,0.893736318,7079,24031,1,Technology
Instagram,0.09,6910.31,6.72,17956,54707,2,Home
Pinterest,0.13,6248.31,0.028599562,9494,31896,1,Technology
Instagram,0.11,10198.48,0.9,26894,81181,4,Home
Facebook,0.09,14327.14,5.81,37320,112064,5,Health
Facebook,0.08,11425.78,1.57,30237,91084,5,Health
Instagram,0.12,4651.52,7.12,11821,36533,6,Home
Pinterest,0.03,11902.36,0.539816736,18509,61251,1,Fashion
Twitter,0.12,7399.58,7.53,19265,58585,4,Technology
Facebook,0.05,4007.76,7.09,10060,31319,3,Fashion
Instagram,0.04,9290.97,5.05,24411,73827,6,Health
Twitter,0.06,13651.1,6.82,35925,107930,1,Technology
Instagram,0.11,12681.28,5.28,33559,100923,10,Technology
Twitter,0.12,500.0,5.27,1786,6811,9,Fashion
Twitter,0.09,10588.23,1.49,27953,84318,9,Fashion
Pinterest,0.01,6627.84,0.391456507,10092,33842,1,Home
Facebook,0.14,14041.69,4.69,36757,110396,8,Fashion
Facebook,0.04,1764.19,6.95,4358,14430,5,Health
Pinterest,0.09,4475.38,0.227009025,6662,22676,1,Fashion
Instagram,0.03,14002.57,4.99,36674,110148,4,Health
Facebook,0.09,6737.29,1.51,17479,53294,2,Technology
Facebook,0.12,11546.09,6.88,30567,92060,7,Technology
Instagram,0.09,13771.88,4.33,36187,108705,10,Technology
Facebook,0.06,1593.52,2.85,3999,13365,4,Health
Twitter,0.1,6297.7,6.5,16303,49809,6,Health
Instagram,0.03,14016.33,8.0,36701,110229,3,Home
Twitter,0.11,15000.0,6.15,38742,116273,7,Technology
Instagram,0.14,6296.55,5.23,16298,49795,4,Food
Pinterest,0.07,8340.3,0.259183532,12832,42765,1,Food
Facebook,0.08,4590.28,5.1,11657,36049,1,Fashion
Twitter,0.08,1630.82,3.77,4072,13583,6,Fashion
Facebook,0.11,5766.65,7.6,14856,45523,3,Food
Pinterest,0.02,7501.34,0.084011214,11482,38371,1,Fashion
Instagram,0.11,3873.47,0.68,9693,30231,9,Home
Twitter,0.04,4212.33,3.98,10620,32978,3,Health
Pinterest,0.07,6670.11,0.176959791,10159,34060,1,Home
Pinterest,0.06,1482.46,0.890161373,2213,8188,1,Home
Facebook,0.14,1701.59,1.98,4225,14033,7,Home
Pinterest,0.08,9364.33,0.423631015,14447,48024,1,Health
Instagram,0.08,2317.94,2.26,5666,18303,6,Technology
Twitter,0.14,13411.45,7.8,35371,106291,5,Home
Pinterest,0.08,14509.08,0.790062905,22112,72983,1,Technology
Pinterest,0.1,14285.16,0.824024886,21875,72210,1,Health
Facebook,0.13,12815.59,1.29,33915,101978,1,Fashion
Twitter,0.13,4146.94,3.36,10444,32456,6,Food
Facebook,0.09,2803.64,1.42,6863,21848,5,Food
Twitter,0.06,5007.62,0.33,12794,39417,6,Food
Facebook,0.09,11738.56,0.31,31083,93588,4,Home
Facebook,0.06,10109.29,2.96,26650,80457,5,Technology
Twitter,0.13,6455.03,1.02,16722,51052,9,Health
Twitter,0.06,7152.6,6.08,18610,56643,6,Fashion
Twitter,0.03,1367.91,2.68,3543,12014,10,Health
Instagram,0.09,8513.52,2.73,22325,67648,10,Health
Twitter,0.1,9644.24,2.5,25382,76702,9,Technology
Instagram,0.1,12480.78,7.15,33036,99373,3,Home
Twitter,0.1,13415.99,3.19,35382,106323,4,Health
Facebook,0.13,14522.38,6.13,37673,113110,5,Home
Instagram,0.07,590.3,0.92,2212,8071,5,Home
Pinterest,0.09,11156.69,0.602378279,17329,57406,1,Fashion
Pinterest,0.01,10527.72,0.362856945,16320,54121,1,Home
Pinterest,0.06,10414.62,1.347754368,16138,53530,1,Technology
Twitter,0.1,8597.43,1.97,22554,68327,4,Fashion
Instagram,0.06,1763.95,5.76,4358,14428,6,Fashion
Twitter,0.03,12468.13,3.59,33002,99272,6,Food
Instagram,0.13,7155.42,4.73,18618,56668,7,Food
Twitter,0.03,10685.07,6.4,28223,85116,8,Home
Facebook,0.09,11875.49,0.96,31439,94644,4,Food
Facebook,0.04,12624.76,1.12,33414,100493,2,Health
Instagram,0.1,7266.46,4.76,18916,57549,9,Fashion
Twitter,0.06,3703.98,5.7,9236,28878,7,Health
Twitter,0.1,1671.79,1.01,4163,13850,10,Technology
Facebook,0.07,7638.6,5.77,19920,60525,7,Food
Instagram,0.07,12453.6,0.43,32966,99165,5,Technology
